"","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR","YEAR"
"176",0.913488,0.349879,-0.283496,-0.234305,-1.04613,-0.314314,-0.603719,-0.21926,0.59375,2018
"177",-1.26289,0.453507,1.47496,-0.234305,-0.903755,0.365787,-0.966415,0.296626,0.2,2018
"178",-1.16544,0.24625,-0.616177,-2.19766,-0.215595,-2.50919,-0.730663,1.04701,0.344828,2018
"179",-0.645711,0.142622,0.619495,0.970479,0.282729,-0.407055,-0.458641,1.09391,0.419355,2018
"180",0.718588,1.83522,0.00165929,0.747371,-0.713918,0.922234,0.847064,-0.203627,0.413793,2018
"181",1.95295,0.177165,-0.853806,-0.814386,-0.785107,-2.13822,1.31857,-1.53243,0.794118,2018
"182",-0.190944,0.695306,1.04723,-0.0558182,-0.476621,-0.376142,-0.367967,-0.719514,0.387097,2019
"183",-0.125978,0.764391,-0.0933924,-0.859007,-1.99532,0.674925,-1.85502,-1.50116,0.322581,2019
"184",1.40074,0.868019,-0.426073,0.301155,-0.951215,0.458529,-0.259158,-0.766413,0.5625,2019
"185",-0.418327,1.80067,1.66506,0.211911,-0.808837,-0.716193,-1.61927,0.593652,0.16129,2019
"186",-1.91256,0.488049,-0.140918,-0.769764,-1.85294,-1.48904,-2.29025,0.499854,0.185185,2019
"187",-0.580744,-1.4118,0.952176,-0.0111966,0.92343,-1.05624,0.157942,0.218462,0.75,2019
"188",1.23832,0.660763,0.429392,-0.323548,-0.54781,0.087564,-0.0778102,-0.344324,0.5,2019
"189",-0.483294,0.453507,-0.188444,1.90753,-1.14105,-1.58178,-0.621854,-0.297425,0.677419,2019
"190",0.0364388,-1.68814,-0.0458665,-0.323548,0.21154,0.30396,-0.404236,-0.344324,0.571429,2015
"191",-0.483294,0.280793,-0.331022,0.256533,-0.263054,1.60234,-0.839471,-0.10983,0.387097,2015
"192",-1.10048,-0.340976,0.857124,0.568884,1.01835,1.2932,-0.549315,-0.250526,0.40625,2015
"193",-0.483294,-1.96448,0.714547,0.256533,1.82516,0.644011,-0.53118,0.609285,0.5625,2015
"194",-0.84061,-0.340976,1.04723,0.0780467,0.472566,1.63325,-0.53118,1.20334,0.258065,2015
"195",-1.84759,-1.92994,-1.9469,0.0780467,0.591215,-0.0979183,0.194212,-0.203627,0.702703,2015
"196",-1.13296,-0.064634,0.571969,0.747371,0.781052,-0.0670046,0.0309985,0.202829,0.466667,2015
"197",-0.905577,-1.58451,-0.473599,0.479641,0.353918,-0.314314,1.24603,-0.610083,0.69697,2015
"198",-0.255911,0.418964,0.476918,-1.2606,0.330188,2.25152,0.103538,-1.1885,0.37931,2015
"199",-0.288394,0.384421,0.33434,-0.10044,-0.120676,0.860407,0.0128637,-1.25103,0.375,2016
"200",0.751071,-0.962744,-1.56669,-0.10044,1.5404,1.16954,-0.0234059,0.187196,0.6875,2016
"201",-1.23041,-1.79177,-1.09143,0.122668,0.733593,0.0257366,1.3367,0.562386,0.558824,2016
"202",1.75805,-1.20454,0.0491851,-0.145061,2.8218,-0.314314,-0.132215,-0.688248,0.833333,2016
"203",-1.45779,-0.997287,1.52249,-1.92993,1.25565,0.922234,-0.277293,0.124664,0.242424,2016
"204",-1.45779,-0.582775,0.381866,-0.10044,0.662404,0.087564,-0.585584,0.218462,0.382353,2016
"205",-0.223428,-1.03183,1.23733,-2.33152,0.472566,0.30396,0.484368,-1.51679,0.4,2016
"206",-0.450811,-1.54997,0.00165929,-1.12674,0.140351,0.30396,-0.00527108,-0.438121,0.5,2017
"207",-1.32786,-1.86085,0.999702,-0.725142,0.330188,0.489442,0.520638,-1.1885,0.454545,2017
"208",0.588655,-1.03183,-1.80432,0.925857,0.591215,0.365787,-1.07522,0.312259,0.6875,2017
"209",-0.320877,-0.444604,-1.13896,0.301155,0.543755,0.334874,0.393694,-0.250526,0.59375,2017
"210",-0.710677,0.315336,2.2829,0.211911,0.306458,1.38594,-0.694393,0.828146,0.233333,2017
"211",-0.0610111,-0.340976,-0.996383,-0.145061,-0.429162,0.829493,-1.47419,-0.422488,0.5,2017
"212",-1.13296,1.24799,0.0491851,0.479641,-0.00202743,0.922234,-0.0415407,0.937576,0.193548,2017
"213",-0.320877,0.10808,1.47496,-0.10044,0.0454319,-0.376142,1.49992,-0.266159,0.46875,2017
"214",0.166372,-2.55171,1.57001,-1.75144,0.781052,-1.24173,0.974007,-1.95451,0.666667,2017
"215",-0.775644,0.349879,-0.0933924,-0.145061,0.0217023,0.984062,-0.386102,-0.141096,0.4375,2018
"216",-0.515777,0.488049,0.90465,-0.591277,-0.357973,0.922234,-1.05709,-0.578818,0.333333,2018
"217",0.263822,0.24625,0.809598,0.122668,1.37429,1.2932,1.64499,-0.37559,0.617647,2018
"218",0.686105,-0.202805,-0.331022,1.37207,0.804782,0.674925,-0.730663,-0.656982,0.515152,2018
"219",-0.613227,0.349879,1.28486,-0.94825,-0.120676,0.334874,-0.259158,-0.344324,0.3125,2018
"220",-0.190944,-0.0991767,-1.32906,0.033425,-0.381702,0.891321,-1.61927,-0.516286,0.515152,2018
"221",0.523688,0.142622,0.0491851,-0.635899,-0.429162,0.149391,-0.00527108,-0.0316652,0.451613,2018
"222",0.263822,-0.202805,-0.0458665,-0.323548,0.638674,0.0257366,1.2823,-1.48553,0.612903,2018
"223",-0.678194,-1.51543,0.952176,0.122668,-0.191865,-0.283401,1.55432,-1.34483,0.59375,2018
"224",0.361272,-0.168262,-0.0933924,0.613506,0.709863,0.211219,-0.331697,0.687449,0.484848,2019
"225",-1.23041,0.315336,0.144237,0.390398,-0.263054,0.458529,0.194212,1.09391,0.322581,2019
"226",0.361272,-0.513689,0.524443,1.19359,0.97089,0.427615,0.502503,0.42169,0.611111,2019
"227",0.426238,-0.0300913,-0.996383,-0.502034,0.97089,0.644011,-1.2203,-0.828944,0.46875,2019
"228",-0.255911,-0.582775,1.85517,1.46132,1.65905,-0.839848,2.46106,1.29713,0.648649,2019
"229",-0.905577,0.177165,1.09475,-1.57295,-0.54781,0.427615,-0.313562,-0.500653,0.129032,2019
"230",0.426238,-0.686403,-0.331022,-0.457413,-1.497,-0.0360909,1.60872,-0.703881,0.5625,2019
"231",-0.970544,-0.859116,-0.616177,-0.457413,0.757322,-0.808934,-1.03895,0.624918,0.594595,2019
"232",-0.548261,-1.6536,-0.473599,-0.591277,1.20819,0.798579,-0.259158,-0.0316652,0.633333,2015
"233",-1.06799,1.52433,-0.0458665,0.211911,-0.381702,1.32411,0.865199,0.624918,0.241379,2015
"234",-1.49028,0.211708,1.23733,-1.08212,0.0691616,1.72599,-0.857606,0.140297,0.266667,2015
"235",-0.580744,1.38616,0.00165929,-0.368169,-0.0257571,-0.0360909,0.937738,1.90682,0.392857,2015
"236",0.426238,0.177165,-0.426073,-0.903629,-0.191865,0.149391,-0.821337,1.64106,0.392857,2015
"237",-0.580744,0.522592,-0.188444,-0.992872,-0.761377,1.72599,-0.0778102,-0.516286,0.214286,2015
"238",-0.125978,-1.03183,-0.853806,0.747371,1.39802,1.23137,-0.748797,-0.703881,0.625,2015
"239",-0.0610111,1.21345,-1.56669,-0.546656,-0.54781,-1.05624,-0.567449,-0.203627,0.428571,2016
"240",-0.385844,1.07528,-0.0933924,-0.278926,-0.239324,1.57142,-0.186619,0.656183,0.310345,2016
"241",0.523688,0.971647,-0.0458665,-0.412791,-0.57154,0.211219,0.0309985,0.15593,0.322581,2016
"242",0.621138,0.418964,-0.23597,0.256533,-0.59527,0.489442,-0.150349,0.140297,0.558824,2016
"243",2.60262,0.591677,-1.61422,-1.8853,-1.23597,1.20046,-1.05709,-1.20413,0.612903,2016
"244",0.426238,1.52433,-0.901332,-1.30522,-0.974944,1.04589,-0.132215,-0.625716,0.266667,2016
"245",0.0689221,1.55887,0.714547,-1.57295,0.899701,0.736752,-0.658123,0.280993,0.25,2016
