TEAM,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,YEAR,WR
Nebraska,49.1,47,16,18.3,30.1,34,37.6,26.5,2018,0.667
Northwestern,49.5,51,17.8,19,29.4,27.7,29.1,37,2018,0.484
Penn St.,52.6,48.3,17.3,19.5,31.7,28.2,31.5,32.1,2018,0.667
Rutgers,43.6,48,17.2,20.5,33.3,29.1,30.5,30.8,2018,0.455
Wisconsin,50.9,51.2,16.8,18.4,28.4,27.7,32.7,30.2,2018,0.455
Illinois,49.6,52.2,18.4,21.8,29.1,31.9,29.5,42.4,2019,0.364
Indiana,51,48.2,17.9,18.1,28.1,28.1,34.6,29.2,2019,0.543
Nebraska,49.2,48.1,14.3,19.3,28.5,32.1,33,30,2019,0.543
Northwestern,46.6,46.7,16.1,17.9,24.2,26.3,30.2,34,2019,0.406
Penn St.,47.5,49.9,18.1,19.6,31.9,26.3,32.3,34.1,2019,0.438
Rutgers,47,49.2,19.1,17.4,33.4,27,31.7,32.4,2019,0.452
Kansas St.,47.8,49.7,20.9,20.2,34,31.4,46,41,2015,0.469
TCU,47.9,44.1,18.4,20,37.5,33.4,46.5,48,2015,0.545
Texas Tech,45.7,49.2,21.8,20.1,34.6,32.6,46.1,36.5,2015,0.406
Kansas St.,47.6,49,20.3,20.8,37,31,42.5,40.4,2016,0.515
Oklahoma St.,48.3,47.1,19.1,17.5,28.8,32.3,38.3,40.9,2016,0.313
TCU,45.7,50.9,20.7,21.1,29.3,31.5,45.6,41.4,2016,0.364
Oklahoma,47.4,50,19,18.5,30.8,29.8,36.7,33.5,2017,0.355
TCU,52.7,50.4,18.8,18.7,34.1,29.3,32.2,30.9,2017,0.632
Texas,48.8,48.1,19.6,18.3,28.4,31.2,34.5,30,2017,0.333
Texas Tech,52.9,50.8,16.5,20.3,30,25.7,35.6,35.6,2017,0.563
Baylor,51.8,47.7,19.8,17.2,35.5,29.7,32.2,30.2,2018,0.576
